Year,Type,Country,Activity,Sex,Age,Fatal,Species,Age_missing
2024,Unprovoked,USA,swimming,M,24.0,0,unknown,1
2024,Unprovoked,USA,surfing,M,49.0,1,unknown,0
2024,Unprovoked,USA,swimming,F,25.0,0,tiger,0
2024,Unprovoked,USA,wading,F,15.0,0,bull,0
2024,Unprovoked,USA,swimming,F,45.0,0,bull,0
2024,Unprovoked,USA,swimming,M,46.0,0,unknown,0
2024,Unprovoked,OTHER,Other,M,23.0,1,unknown,0
2024,Unprovoked,USA,wading,F,19.0,0,unknown,0
2024,Unprovoked,OTHER,Other,M,27.0,0,unknown,0
2024,Unprovoked,OTHER,Other,M,20.0,0,unknown,0
2024,Unprovoked,USA,spearfishing,M,65.0,0,other,0
2024,Unprovoked,OTHER,swimming,M,64.0,0,bull,0
2024,Unprovoked,BAHAMAS,Other,M,24.0,0,caribbean reef,0
2024,Unprovoked,AUSTRALIA,fishing,M,16.0,0,great white,0
2024,Unprovoked,AUSTRALIA,surfing,M,26.0,0,unknown,0
2024,Unprovoked,OTHER,swimming,M,24.0,0,unknown,1
2024,Unprovoked,AUSTRALIA,swimming,F,13.0,0,tiger,0
2024,Unprovoked,USA,surfing,M,24.0,0,tiger,1
2024,Unprovoked,USA,swimming,F,11.0,0,unknown,0
2024,Unprovoked,AUSTRALIA,swimming,F,46.0,0,tiger,0
2024,Unprovoked,OTHER,fishing,M,32.0,0,bull,0
2024,Provoked,OTHER,spearfishing,M,24.0,0,blacktip reef,1
2024,Unprovoked,AUSTRALIA,swimming,F,29.0,0,bull,0
2024,Unprovoked,BAHAMAS,swimming,M,10.0,0,unknown,0
2024,Unprovoked,AUSTRALIA,surfing,M,64.0,0,great white,0
2024,Provoked,SOUTH AFRICA,fishing,M,62.0,0,other,0
2023,Unprovoked,USA,surfing,M,39.0,1,unknown,0
2023,Unprovoked,MEXICO,Other,M,22.0,1,great white,0
2023,Unprovoked,AUSTRALIA,surfing,M,15.0,1,great white,0
2023,Unprovoked,AUSTRALIA,surfing,M,16.0,0,unknown,0
2023,Unprovoked,AUSTRALIA,Other,M,46.0,0,bronze whaler,0
2023,Unprovoked,NEW ZEALAND,wading,F,21.0,0,unknown,0
2023,Unknown,MEXICO,swimming,M,66.0,1,unknown,0
2023,Unknown,MEXICO,swimming,F,52.0,0,unknown,0
2023,Unprovoked,AUSTRALIA,snorkeling,M,20.0,0,unknown,0
2023,Unprovoked,BAHAMAS,Other,F,44.0,1,unknown,0
2023,Unprovoked,MEXICO,swimming,F,26.0,1,unknown,0
2023,Unprovoked,AUSTRALIA,swimming,M,21.0,0,bull,0
2023,Unprovoked,BAHAMAS,scuba diving,F,47.0,1,unknown,0
2023,Unprovoked,AUSTRALIA,Other,F,32.0,0,unknown,0
2023,Unprovoked,USA,swimming,M,66.0,0,unknown,0
2023,Unprovoked,AUSTRALIA,spearfishing,M,24.0,0,lemon,1
2023,Unprovoked,NEW ZEALAND,Other,M,24.0,0,great white,1
2023,Unknown,EGYPT,scuba diving,M,66.0,0,oceanic whitetip,0
2023,Unprovoked,AUSTRALIA,surfing,M,55.0,1,great white,0
2023,Unprovoked,USA,surfing,M,30.0,0,tiger,0
2023,Provoked,MEXICO,fishing,M,59.0,0,unknown,0
2023,Watercraft,AUSTRALIA,fishing,M,24.0,0,bronze whaler,1
2023,Unprovoked,OTHER,snorkeling,F,8.0,0,nurse,0
2023,Unprovoked,USA,surfing,M,50.0,0,tiger,0
2023,Unprovoked,USA,surfing,M,52.0,0,unknown,0
2023,Unprovoked,USA,surfing,F,45.0,0,other,0
2023,Unprovoked,AUSTRALIA,swimming,F,64.0,0,unknown,0
2023,Unprovoked,USA,swimming,M,52.0,1,unknown,0
2023,Unprovoked,USA,swimming,M,24.0,0,unknown,1
2023,Unprovoked,EGYPT,swimming,F,34.0,0,tiger,0
2023,Unknown,USA,surfing,M,38.0,0,unknown,0
2023,Unprovoked,USA,surfing,M,24.0,0,unknown,1
2023,Unprovoked,PHILIPPINES,fishing,M,24.0,0,unknown,1
2023,Watercraft,OTHER,Other,M,24.0,0,other,1
2023,Unprovoked,USA,surfing,M,24.0,0,unknown,1
2023,Unprovoked,USA,wading,F,37.0,0,unknown,0
2023,Unprovoked,USA,wading,UNKNOWN,9.0,0,unknown,0
2023,Watercraft,USA,fishing,M,19.0,0,unknown,0
2023,Unprovoked,OTHER,wading,M,35.0,0,blue,0
2023,Provoked,OTHER,fishing,M,24.0,0,blue,1
2023,Unprovoked,OTHER,Other,M,24.0,1,unknown,1
2023,Unprovoked,USA,wading,F,65.0,0,unknown,0
2023,Unprovoked,USA,surfing,M,22.0,0,unknown,0
2023,Unprovoked,USA,spearfishing,M,22.0,0,unknown,0
2023,Unprovoked,USA,swimming,F,26.0,0,unknown,0
2023,Unprovoked,AUSTRALIA,surfing,M,24.0,0,great white,1
2023,Unprovoked,AUSTRALIA,snorkeling,M,77.0,0,wobbegong,0
2023,Unprovoked,USA,body boarding,M,60.0,0,unknown,0
2023,Unprovoked,OTHER,Other,M,38.0,0,oceanic whitetip,0
2023,Unprovoked,USA,Other,M,49.0,0,unknown,0
2023,Unprovoked,USA,surfing,M,21.0,0,unknown,0
2023,Watercraft,SOUTH AFRICA,Other,UNKNOWN,24.0,0,unknown,1
2023,Unprovoked,OTHER,snorkeling,F,42.0,0,unknown,0
